kod_stacji,nazwa_stacji,lon,lat,stan,stan_data,przelyw,przeplyw_data
151190080,KŁUDZICE,19.781944,51.349167,257,2025-03-31 09:20:00,2,2025-03-31 09:20:00
151190090,PRZEDBÓRZ,19.875,51.089444,233,2025-03-26 03:20:00,12,2025-03-26 03:20:00
151190100,SULEJÓW-KOPALNIA,19.886111,51.343611,150,2025-03-31 09:20:00,15,2025-03-31 09:20:00
151190120,DĄBROWA,19.971667,51.313889,261,2025-03-31 09:20:00,3,2025-03-31 09:20:00
151200020,SPAŁA,20.133889,51.537222,32,2025-03-31 09:20:00,15,2025-03-31 09:20:00
151200090,NOWE MIASTO,20.573333,51.609167,54,2025-03-31 09:20:00,22,2025-03-31 09:20:00
151200100,BZIN,20.855556,51.103611,124,2025-03-31 09:20:00,1,2024-11-15 11:20:00
151200120,BIAŁOBRZEGI,20.951111,51.6575,152,2025-03-31 09:20:00,29,2025-03-31 09:20:00
151210010,WĄCHOCK,21.018889,51.075833,34,2025-03-31 09:20:00,1,2025-03-31 09:20:00
151210040,BRODY IŁŻECKIE,21.202778,51.021389,143,2025-03-31 08:50:00,3,2025-03-31 08:50:00
151210050,GUSIN,21.254444,51.892778,55,2025-03-31 09:20:00,358,2025-03-31 09:20:00
152230100,NAREWKA,23.725278,52.863056,117,2025-03-31 09:20:00,1,2025-03-31 09:20:00
152230110,BONDARY,23.748889,52.940278,175,2025-03-31 09:20:00,1,2025-03-31 09:20:00
152230120,SIEMIANÓWKA,23.757222,52.940278,164,2025-03-31 09:20:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,526,2025-03-31 09:20:00,,
153140050,SZCZECIN MOST DŁUGI,14.559722,53.4225,527,2025-03-31 09:20:00,,
153140070,DZIWNÓW,14.731667,54.020556,522,2025-03-31 09:20:00,,
153140090,GOLENIÓW,14.826944,53.563056,141,2025-03-31 09:20:00,9,2025-03-31 09:20:00
153150010,STARGARD,15.040833,53.350278,68,2025-03-31 09:20:00,6,2025-03-31 09:20:00
153160020,TYCHÓWKO,16.065278,53.900833,166,2025-03-31 09:20:00,7,2025-03-31 09:20:00
153160170,UJŚCIE,16.730278,53.054722,207,2025-03-31 09:20:00,19,2025-03-31 09:20:00
153160210,PTUSZA,16.796389,53.366667,197,2025-03-31 09:20:00,,
153170010,BIAŁOŚLIWIE,17.124722,53.073611,150,2025-03-31 09:20:00,7,2025-03-31 09:20:00
153170100,NAKŁO-ZACHÓD,17.562222,53.123611,232,2025-03-31 09:20:00,,
153170120,TUCHOLA,17.903333,53.573056,100,2025-03-31 09:20:00,16,2025-03-31 09:20:00
153180010,CZARNA WODA,18.092778,53.841111,49,2025-03-31 09:20:00,6,2025-03-31 09:20:00
153180020,FORDON,18.17,53.146667,186,2025-03-26 03:20:00,622,2025-03-26 03:20:00
153180080,CHEŁMNO,18.415,53.363056,220,2025-03-31 09:20:00,600,2025-03-31 09:20:00
153180090,TORUŃ,18.6075,53.007778,181,2025-03-31 09:20:00,575,2025-03-31 09:20:00
153180100,GRUDZIĄDZ,18.745278,53.485,219,2025-03-31 09:20:00,598,2025-03-31 09:20:00
153180110,BRODY POMORSKIE,18.760278,53.858333,177,2025-03-31 09:20:00,6,2025-03-31 09:20:00
153180120,HEL,18.800556,54.601944,511,2025-03-31 09:20:00,,
153180140,ELGISZEWO,18.928333,53.060833,79,2025-03-31 09:20:00,20,2025-03-31 09:20:00
153190040,BĄGART,19.369167,53.966111,696,2025-03-31 09:20:00,1,2025-03-31 09:20:00
153190120,RODZONE,19.659722,53.522222,174,2025-03-31 09:20:00,7,2025-03-31 09:20:00
153190150,LIDZBARK,19.818611,53.266667,69,2025-03-31 09:20:00,3,2025-03-31 09:20:00
153190170,OSTRÓDA,19.959444,53.702778,456,2025-03-31 09:20:00,,
153200030,KALISTY,20.195833,53.917222,48,2025-03-31 09:20:00,4,2025-03-31 09:20:00
153200040,TOMARYNY,20.206667,53.736111,164,2025-03-31 09:20:00,1,2025-03-31 09:20:00
153200090,SZYPRY,20.573611,53.835556,239,2025-03-31 09:20:00,,
153210070,BIAŁOBRZEG BLIŻSZY,21.478611,53.108333,87,2025-03-31 09:20:00,6,2025-03-31 09:20:00
153210090,OSTROŁĘKA,21.562778,53.083889,71,2025-03-31 09:20:00,53,2025-03-31 09:20:00
153210140,SZKWA,21.685833,53.180278,369,2025-03-31 09:20:00,1,2025-03-31 09:20:00
153210170,PTAKI,21.792222,53.393056,50,2025-03-31 09:20:00,8,2025-03-31 09:20:00
153210190,PISZ,21.806389,53.624444,108,2025-03-31 09:20:00,7,2025-03-31 09:20:00
153210200,MALDANIN,21.823889,53.650556,23,2025-03-31 09:20:00,,
153210210,NOWOGRÓD,21.865278,53.226667,58,2025-03-31 09:20:00,48,2025-03-31 09:20:00
153210220,DOBRYLAS,21.864722,53.285833,70,2025-03-31 09:20:00,9,2025-03-31 09:20:00
153220010,PIĄTNICA-ŁOMŻA,22.093333,53.193333,106,2025-03-31 09:20:00,36,2025-03-31 09:20:00
153220050,EŁK ,22.344167,53.820278,145,2025-03-31 09:20:00,,
153220060,EŁK ,22.383333,53.831667,82,2025-03-31 09:20:00,2,2025-03-31 09:20:00
153220080,PROSTKI,22.439167,53.700556,63,2025-03-31 09:20:00,3,2025-03-31 09:20:00
153220130,STRĘKOWA GÓRA,22.538611,53.219722,156,2025-03-31 09:20:00,15,2025-03-31 09:20:00
153220140,PRZECHODY,22.586389,53.555,180,2025-03-31 09:20:00,3,2025-03-31 09:20:00
153220160,OSOWIEC ,22.626667,53.486667,356,2025-03-31 09:20:00,4,2025-03-31 09:20:00
153220170,OSOWIEC ,22.638611,53.483056,243,2025-03-31 09:20:00,9,2025-03-31 09:20:00
153220180,ZAWADY ,22.673611,53.156944,251,2025-03-31 09:20:00,1,2025-03-31 09:20:00
153220190,RAJGRÓD ,22.699722,53.732778,155,2025-03-31 09:20:00,,
153220200,RAJGRÓD ,22.701667,53.730556,77,2025-03-31 09:20:00,1,2025-03-31 09:20:00
153220230,KULESZE-CHOBOTKI,22.764722,53.241667,174,2025-03-31 09:20:00,0,2025-03-31 09:20:00
153220270,BABINO,22.9425,53.154167,373,2025-03-31 09:20:00,,
